"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72830932","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Powder blue","19","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631642","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Dark chocolate","9","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631645","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Black","5","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631648","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Peace","0","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631651","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","dark Maroon","0","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631654","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Ash","0","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","73631656","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","olive brown","19","2350",""
"Modest Cord's Set - 44","","Modest Cord's Set","","","","Pcs","","0","0","0","0","59145964","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","olive green","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909035","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Black","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909038","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Orange","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909040","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Brown","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909043","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Red Maroon","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909046","0","0","Amount","0","0","0","Body free size from 34” to 46“ (One size )","olive brown","0","0",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","58909048","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Ash","0","2350",""
"Modest Cord's Set - 45","","Modest Cord's Set","","","","Pcs","","0","0","0","0","59278427","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","olive green","0","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013415","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Ash","18","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013417","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Terracotta","0","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013418","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","blue","0","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013419","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Black","31","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013421","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","marron","0","2350",""
"Modest Cord's Set - 46","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60013423","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Nude pink","0","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60628560","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","See green","0","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60628563","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Brown","0","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60628566","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Black","0","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60643040","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","brownish-gray","1","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60643043","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Red Maroon","0","2350",""
"Modest Cord's Set - 47","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60643047","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Ash","3","2350",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61035443","2350","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","blue","10","2350",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61035447","2350","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Burgundy","36","2350",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61035450","2350","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Black","6","2350",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61035452","2350","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Maroon","12","2350",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","35539752","2450","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Olive","2","2450",""
"Modest Cord's Set - 48","","Modest Cord's Set","","","","Pcs","","0","0","0","0","35539755","2450","2950","Amount","0","0","0","Body free size from 34” to 46“ (One size )","DARK BROWN","2","2450",""
"Modest Cord's Set - 49","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61231587","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","olive green","0","2350",""
